country,wine_type,wine_year,avg_rating
Espana,"Priorat Red",2015,4.428225806451613
Espana,"Priorat Red",2005,4.470588235294122
Espana,"Priorat Red",2016,4.434645669291337
Espana,"Priorat Red",1999,4.474576271186445
Espana,"Priorat Red",1996,4.595652173913043
Espana,"Priorat Red",1997,4.486842105263159
Espana,"Priorat Red",1995,4.666666666666666
Espana,"Priorat Red",2001,4.628571428571427
Espana,"Priorat Red",2010,4.4686746987951835
Espana,"Priorat Red",2014,4.422480620155038
Espana,"Priorat Red",2011,4.431428571428574
Espana,"Priorat Red",2003,4.442574257425744
Espana,"Toro Red",2014,4.466666666666667
Espana,Red,2010,4.381081081081078
Espana,"Rioja Red",1985,4.351162790697671
Espana,"Rioja Red",1982,4.365853658536584
Espana,"Rioja Red",2005,4.4123287671232925
Espana,"Rioja Red",2004,4.374025974025977
