wine,rating,wine_year
"Gran Reserva",4.2,2011
"Gran Reserva",4.2,2011
"Gran Reserva",4.2,2011
"Coleccion Privada",4.2,2017
Tinto,4.2,2007
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Rioja Gran Reserva",4.2,1994
"Gran Reserva",4.2,1964
"Gran Reserva",4.2,1964
"Gran Reserva",4.2,1964
"Gran Reserva",4.2,1928
"Gran Reserva",4.2,1928
"Gran Reserva",4.2,1928
"Seleccion Especial",4.2,2015
Valdegines,4.2,2019
Reserva,4.2,1986
Reserva,4.2,1986
Reserva,4.2,1986
Reserva,4.2,1986
Reserva,4.2,1986
Reserva,4.2,1986
"Vina Ardanza Reserva",4.2,2015
"Vina Ardanza Reserva",4.2,2015
"Vina Ardanza Reserva",4.2,2015
"Ribera del Duero",4.2,2007
"Ribera del Duero",4.2,2007
"Ribera del Duero",4.2,2007
"Ribera del Duero",4.2,2007
"Ribera del Duero",4.2,2007
Red,4.2,2019
Red,4.2,2019
Tinto,4.2,2017
"Ribera del Duero",4.2,2006
"Ribera del Duero",4.2,2006
"Ribera del Duero",4.2,2006
"Ribera del Duero",4.2,2006
"Ribera del Duero",4.2,2006
"El Viejo",4.2,2018
"El Viejo",4.2,2018
"El Viejo",4.2,2018
Tinto,4.2,2017
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2010
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Rioja Reserva",4.2,2009
"Ribera del Duero",4.2,2005
"Ribera del Duero",4.2,2005
"Ribera del Duero",4.2,2005
"Ribera del Duero",4.2,2005
"Ribera del Duero",4.2,2005
"Ribera del Duero",4.2,2004
"Ribera del Duero",4.2,2004
"Ribera del Duero",4.2,2004
"Ribera del Duero",4.2,2004
"Ribera del Duero",4.2,2004
"200 Monges Rioja Reserva",4.2,2011
Malleolus,4.2,2019
Reserva,4.2,2011
Reserva,4.2,2011
Reserva,4.2,2011
Reserva,4.2,2011
