wine_name,year,rating,num_reviews,price,wine_id
La Nieta,2018,4.7,220,89.9,94
Unico,1964,4.7,214,1384.54,95
Unico,1982,4.7,205,820.98,96
Pingus,2015,4.7,203,1250.0,97
Unico Reserva Especial Edicion,1995,4.7,196,1500.0,98
Pingus,1999,4.7,184,1715.18,99
Unico,1974,4.7,173,932.3,100
L'Ermita Velles Vinyes Priorat,1998,4.7,171,1372.14,101
Cartago Paraje de Pozo,2015,4.7,137,78.9,102
Unico Reserva Especial Edicion,2012,4.7,136,660.96,103
Parcela El Picon Tinto,2009,4.7,134,154.0,104
Valbuena 5o,2017,4.7,133,134.89,105
L'Ermita Velles Vinyes Priorat,2000,4.7,132,1422.96,106
Termanthia,2005,4.7,131,207.11,107
Unico Reserva Especial Edicion,2011,4.7,131,340.49,108
Clon De La Familia,2010,4.7,127,317.63,109
Aquilon Garnacha,2011,4.7,123,108.9,110
Unico,1983,4.7,118,700.0,111
Don PX Convento Seleccion,1955,4.7,117,185.0,112
Unico,1980,4.7,116,911.43,113
Contador Rioja,2005,4.7,112,1150.0,114
Unico,1972,4.7,110,698.95,115
Termanthia,2004,4.7,108,2814.16,116
Tinto,2010,4.7,102,1325.0,117
Quinon de Valmira,2015,4.7,102,527.26,118
Unico Reserva Especial Edicion,1987,4.7,100,1071.45,119
1902 Centenary Carignan Priorat,2015,4.7,94,299.0,120
Tintilla de Rota,2016,4.7,92,43.13,121
Unico,1953,4.7,89,1207.6,122
Cirsion Rioja,2000,4.7,87,175.0,123
L'Ermita Velles Vinyes Priorat,2015,4.7,82,1252.35,124
El Nido,2019,4.7,80,145.9,125
1902 Centenary Carignan Priorat,2013,4.7,74,447.95,126
Unico Reserva Especial Edicion,2006,4.7,72,813.96,127
L'Ermita Velles Vinyes Priorat,2005,4.7,67,1410.26,128
Cami Pesseroles,2006,4.7,65,182.9,129
Turo d'en Mota,2007,4.7,64,99.0,130
Unico Reserva Especial Edicion,1986,4.7,63,1113.2,131
Priorat,2007,4.7,60,654.31,132
Parcela El Picon Tinto,2016,4.7,59,134.26,133
