wine_type,wine_year,avg_rating
"Pedro Ximenez",1968,4.582352941176471
Red,2013,4.5307692307692315
Red,2016,4.406578947368424
Red,2008,4.5249999999999995
"Ribera Del Duero Red",2001,4.4628571428571435
"Pedro Ximenez",1994,4.469999999999999
"Pedro Ximenez",1986,4.514285714285714
"Pedro Ximenez",1973,4.512499999999999
"Pedro Ximenez",1999,4.514285714285714
"Priorat Red",2004,4.5078947368421085
"Priorat Red",2008,4.461616161616161
"Priorat Red",2017,4.418181818181799
"Priorat Red",2018,4.426530612244886
"Priorat Red",1998,4.52727272727273
"Priorat Red",2000,4.474576271186445
"Priorat Red",2015,4.428225806451613
"Priorat Red",2005,4.470588235294122
"Priorat Red",2016,4.434645669291337
"Priorat Red",1999,4.474576271186445
"Priorat Red",1996,4.595652173913043
"Priorat Red",1997,4.486842105263159
"Priorat Red",1995,4.666666666666666
"Priorat Red",2001,4.628571428571427
"Priorat Red",2010,4.4686746987951835
"Priorat Red",2014,4.422480620155038
"Priorat Red",2011,4.431428571428574
"Priorat Red",2003,4.442574257425744
"Toro Red",2014,4.466666666666667
Red,2010,4.381081081081078
"Rioja Red",1985,4.351162790697671
"Rioja Red",1982,4.365853658536584
"Rioja Red",2005,4.4123287671232925
"Rioja Red",2004,4.374025974025977
"Rioja Red",1995,4.4040000000000035
"Rioja Red",2010,4.373275862068969
"Rioja Red",1989,4.444444444444444
"Rioja Red",1981,4.49090909090909
"Ribera Del Duero Red",1992,4.59032258064516
"Ribera Del Duero Red",1988,4.59032258064516
"Ribera Del Duero Red",1976,4.59032258064516
"Rioja White",1986,4.7
"Rioja Red",2015,4.36965811965811
"Rioja Red",2017,4.389583333333336
Tempranillo,2019,4.49
"Rioja Red",2012,4.35879120879121
"Rioja Red",2011,4.3578378378378355
"Rioja Red",2014,4.3472027972027885
"Rioja Red",2006,4.364999999999998
"Toro Red",2005,4.555555555555555
"Toro Red",2004,4.470588235294118
"Toro Red",2000,4.575
Grenache,2011,4.575
Grenache,2015,4.471428571428572
Grenache,2016,4.411764705882352
Grenache,2014,4.404999999999999
"Priorat Red",2013,4.401250000000006
"Rioja Red",2007,4.363768115942031
"Priorat Red",2006,4.4043010752688225
"Priorat Red",2009,4.410344827586211
"Priorat Red",2012,4.390000000000004
"Priorat Red",2007,4.400943396226419
Cava,2007,4.566666666666666
Cava,2005,4.566666666666666
Cava,2006,4.471428571428571
"Priorat Red",2019,4.369230769230773
Sherry,1987,4.6
Sherry,1991,4.6
Grenache,2018,4.364705882352941
Cava,2011,4.454545454545454
Cava,2008,4.5
Red,2009,4.409999999999999
"Rioja Red",1964,4.336538461538462
"Rioja Red",1928,4.38421052631579
"Rioja Red",1978,4.38421052631579
"Rioja Red",1998,4.3942307692307745
"Rioja Red",1942,4.433333333333332
"Rioja Red",2009,4.33617021276596
"Rioja Red",1959,4.423076923076922
"Rioja Red",1994,4.339393939393942
"Rioja Red",1925,4.433333333333332
"Rioja Red",2001,4.40444444444445
"Rioja Red",2013,4.332692307692309
"Rioja Red",2002,4.451612903225809
"Rioja Red",1996,4.344827586206896
Red,2004,4.483333333333333
Red,2011,4.427777777777778
Verdejo,2018,4.372222222222221
Verdejo,2016,4.4
Red,2006,4.5
Syrah,2014,4.375
Syrah,2015,4.375
"Pedro Ximenez",1910,4.6
"Pedro Ximenez",1965,4.525
"Pedro Ximenez",1962,4.525
"Pedro Ximenez",1949,4.525
"Rioja Red",1970,4.351162790697674
Cava,2001,4.6
Red,2005,4.516666666666667
Monastrell,2016,4.385714285714286
Monastrell,2015,4.4
Monastrell,2011,4.3999999999999995
Mencia,2016,4.425
"Rioja Red",1954,4.333333333333333
"Priorat Red",2020,4.466666666666667
Mencia,2011,4.6
"Rioja Red",1986,4.3
"Rioja Red",2008,4.319607843137254
Sparkling,2004,4.6
"Toro Red",2003,4.377777777777778
"Toro Red",2001,4.377777777777778
"Toro Red",2006,4.377777777777778
Grenache,2017,4.362499999999999
Grenache,2019,4.389999999999999
Verdejo,2019,4.38
Verdejo,2020,4.4
Verdejo,2015,4.366666666666667
"Rioja Red",1991,4.385714285714286
Monastrell,2018,4.414285714285714
Monastrell,2017,4.36
Monastrell,2019,4.4
"Priorat Red",2002,4.354545454545453
Red,2000,4.4
Albarino,2019,4.3100000000000005
Syrah,2016,4.4
Syrah,2009,4.5
"Rioja White",2018,4.314285714285711
"Rioja Red",2003,4.4
"Rioja Red",1999,4.425
Cava,2004,4.4
Cava,2002,4.433333333333334
Chardonnay,2018,4.342857142857143
Chardonnay,2017,4.45
Chardonnay,2011,4.4
Chardonnay,2012,4.4
Sparkling,2007,4.4
Red,2012,4.3100000000000005
"Rioja White",1981,4.5
"Rioja White",2012,4.45
