category,wine,rating,wine_year
"Peor vino",Tinto,4.2,2012
"Peor vino",Tinto,4.2,2009
"Peor vino",Tinto,4.2,2011
"Peor vino",Tinto,4.2,2015
"Peor vino",Tinto,4.2,2010
"Peor vino","Gran Reserva",4.2,2001
"Peor vino","Gran Reserva",4.2,2001
"Peor vino","Gran Reserva",4.2,2001
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2016
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino","Ribera del Duero",4.2,2017
"Peor vino",Tinto,4.2,2019
"Peor vino",Tinto,4.2,2019
"Peor vino",Tinto,4.2,2008
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino",Reserva,4.2,2017
"Peor vino","Casa Cisca Monastrell",4.2,2016
"Peor vino","Reserva Rioja (Finca Ygay)",4.2,1954
"Peor vino","Reserva Rioja (Finca Ygay)",4.2,1954
"Peor vino",Tinto,4.2,2019
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino","Rioja Gran Reserva",4.2,1986
"Peor vino",Tinto,4.2,2016
"Peor vino","Ribera del Duero",4.2,2013
"Peor vino","Ribera del Duero",4.2,2013
"Peor vino","Ribera del Duero",4.2,2013
"Peor vino","Ribera del Duero",4.2,2013
"Peor vino","Ribera del Duero",4.2,2013
"Peor vino","Ribera del Duero",4.2,2014
"Peor vino","Ribera del Duero",4.2,2014
"Peor vino","Ribera del Duero",4.2,2014
"Peor vino","Ribera del Duero",4.2,2014
"Peor vino","Ribera del Duero",4.2,2014
"Peor vino",Toro,4.2,2014
"Peor vino",Tinto,4.2,2018
"Peor vino","Ribera del Duero",4.2,2015
"Peor vino","Ribera del Duero",4.2,2015
"Peor vino","Ribera del Duero",4.2,2015
"Peor vino","Ribera del Duero",4.2,2015
"Peor vino","Ribera del Duero",4.2,2015
"Peor vino",Toro,4.2,2015
"Peor vino",Tinto,4.2,2017
"Peor vino",Toro,4.2,2016
"Peor vino",Tinto,4.2,2019
"Peor vino",Tinto,4.2,2018
"Peor vino","Ribera del Duero",4.2,2003
"Peor vino","Ribera del Duero",4.2,2003
"Peor vino","Ribera del Duero",4.2,2003
"Peor vino","Ribera del Duero",4.2,2003
"Peor vino","Ribera del Duero",4.2,2003
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
"Peor vino",Reserva,4.2,2014
