wine,winery
"40 Aniversario Gran Reserva","Vina Pedrosa"
"Corpinnat Enoteca Reserva Particular de Recaredo",Recaredo
"Don PX Pedro Ximenez","Toro Albala"
Tinto,"Pago de Carraovejas"
"Ribera del Duero",Alion
"Ribera del Duero",Alion
Toro,Pintia
Tinto,"Pago de Carraovejas"
"Ribera del Duero",Alion
Toro,Pintia
Tinto,"Pago de Carraovejas"
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
"Castillo Ygay Gran Reserva Especial Tinto","Marques de Murrieta"
"Gran Reserva 890","La Rioja Alta"
"Castillo Ygay Gran Reserva Especial Tinto","Marques de Murrieta"
Toro,Pintia
"Flor de Pingus","Dominio de Pingus"
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
Clio,"Bodegas El Nido"
"Flor de Pingus","Dominio de Pingus"
"Flor de Pingus","Dominio de Pingus"
"Flor de Pingus","Dominio de Pingus"
Clio,"Bodegas El Nido"
Clio,"Bodegas El Nido"
"PS (Pagos Seleccionados) Ribera del Duero",Aalto
Tinto,"Pago de Carraovejas"
Macan,"Benjamin de Rothschild - Vega Sicilia"
Tinto,Aalto
Clio,"Bodegas El Nido"
Garnacha,"Alto Moncayo"
"Parcela El Nogal Tinto","Pago de Los Capellanes"
"Valbuena 5o","Vega Sicilia"
Macan,"Benjamin de Rothschild - Vega Sicilia"
"Ribera del Duero",Alion
"Belondrade y Lurton",Belondrade
"Parcela El Nogal Tinto","Pago de Los Capellanes"
Reserva,"Pago de Carraovejas"
"Flor de Pingus","Dominio de Pingus"
"Rioja Reserva","Remirez de Ganuza"
"Prado Enea Gran Reserva",Muga
"Rioja Reserva","Remirez de Ganuza"
"Gran Reserva 890","La Rioja Alta"
"Belondrade y Lurton",Belondrade
Priorat,"Clos Mogador"
"Torre Muga",Muga
Macan,"Benjamin de Rothschild - Vega Sicilia"
Termanthia,"Bodega Numanthia"
"Malleolus de Valderramiro","Emilio Moro"
Priorat,"Clos Mogador"
"Dalmau Rioja","Marques de Murrieta"
Reserva,"Hacienda Monasterio"
"Parcela El Nogal Tinto","Pago de Los Capellanes"
"Gran Reserva 890","La Rioja Alta"
Clio,"Bodegas El Nido"
Aro,Muga
"Gran Reserva","Remirez de Ganuza"
"San Vicente Rioja","Senorio de San Vicente"
"Ribera del Duero TSM","Carmelo Rodero"
"Pago de Santa Cruz","Vina Sastre"
"Ribera Del Duero Reserva Premium 6 Anos","Bodegas Valduero"
Trasnocho,"Remirez de Ganuza"
"Clos de L'Obac","Costers del Siurana"
"Valbuena 5o","Vega Sicilia"
"Reserva Ribera del Duero",Arzuaga
"Gran Reserva 890","La Rioja Alta"
"Ribera Del Duero","Francisco Barona"
"Pago de Santa Cruz","Vina Sastre"
"Ribera Del Duero Reserva Premium 6 Anos","Bodegas Valduero"
Bruto,"Juan Gil"
"Culmen Reserva Rioja",Lan
"Cirsion Rioja","Bodegas Roda"
Priorat,"Clos Mogador"
Bruto,"Juan Gil"
VS,"Bodegas Mauro"
Termanthia,"Bodega Numanthia"
Trasnocho,"Remirez de Ganuza"
Reserva,"Hacienda Monasterio"
"Vina Tondonia Gran Reserva","R. Lopez de Heredia"
"Petit Verdot","Abadia Retuerta"
"5o Ano Ribera del Duero Tinto","Tomas Postigo"
"El Titan del Bendito","Dominio del Bendito"
"Petit Verdot","Abadia Retuerta"
Amancio,"Sierra Cantabria"
"Clos Martinet",Martinet
Trasnocho,"Remirez de Ganuza"
Tinto,"Adama Wines"
"Ribera del Duero",Alion
Aro,Muga
"Valbuena 5o","Vega Sicilia"
Tinto,Milsetentayseis
"Pago de Santa Cruz","Vina Sastre"
Tinto,"Espectacle del Montsant"
"Millenium Gran Reserva","Tinto Pesquera"
"Regina Vides Ribera del Duero","Vina Sastre"
"Finca Dofi","Alvaro Palacios"
"Gran Reserva Ribera del Duero",Arzuaga
"Vina del Olivo",Contino
"Flor de Pingus","Dominio de Pingus"
"Seleccio Especial Vinyes Velles","Ferrer Bobet"
Priorat,"Clos Mogador"
"Calvario Rioja",Allende
"Ribera del Duero Una Cepa I","Bodegas Valduero"
"Ribera del Duero Prestigio",Matarromera
"Regina Vides Ribera del Duero","Vina Sastre"
"Grans Muralles","Familia Torres"
"Pesus Ribera del Duero","Vina Sastre"
"Gran Vino Albarino","Pazo Barrantes"
"Reserva Especial Ribera del Duero",Arzuaga
"Pago Garduna","Abadia Retuerta"
"Belondrade y Lurton",Belondrade
Toro,Pintia
"La Cueva del Contador Rioja","Bodega Contador (Benjamin Romeo)"
"Finca el Bosque","Sierra Cantabria"
"Que Bonito Cacareaba Blanco","Bodega Contador (Benjamin Romeo)"
"5o Ano Ribera del Duero Tinto","Tomas Postigo"
"Baron de Chirel Rioja Reserva","Marques de Riscal"
Capitel,Ossian
"Turo d'en Mota",Recaredo
Amancio,"Sierra Cantabria"
"Regina Vides Ribera del Duero","Vina Sastre"
"Emeritvs (Emeritus)","Marques de Grinon"
"Regina Vides Ribera del Duero","Vina Sastre"
"Turo d'en Mota",Recaredo
"Cami Pesseroles",Martinet
Reserva,"Dominio del Aguila"
Amancio,"Sierra Cantabria"
"Finca Los Hoyales Ribera del Duero","Cruz de Alba"
"Vina El Pison",Artadi
"Pesus Ribera del Duero","Vina Sastre"
"Pago Garduna","Abadia Retuerta"
"La Basseta","Bodegas Mas Alta"
"Territorio Luthier Reserva","Territorio Luthier"
"Ribera del Duero",Alion
"Valbuena 5o","Vega Sicilia"
"Son Negre","Anima Negra"
"Clos de L'Obac","Costers del Siurana"
"Vinas Viejas de Soria Ribera Del Duero","Dominio de Es"
"Pago de Santa Cruz Gran Reserva Ribera del Duero","Vina Sastre"
"Cami Pesseroles",Martinet
"Parcela El Picon Tinto","Pago de Los Capellanes"
Tinto,"Adama Wines"
"Seleccion Rioja","Jesus Madrazo"
"Millenium Reserva","Tinto Pesquera"
Acediano,"Bodegas Naluar & Acediano"
Gaudium,"Marques de Caceres"
"Vinas Viejas de Soria Ribera Del Duero","Dominio de Es"
"Finca el Bosque","Sierra Cantabria"
"Pico de Luyas",Trus
"Grandes Anadas Rioja",Artadi
Bruto,"Juan Gil"
Aro,Muga
"Mas Via Gran Reserva Brut",Mestres
"Les Aubaguetes Priorat","Alvaro Palacios"
"La Mula de la Quietud","Quinta de la Quietud"
"Navarra Coleccion 125 Blanco",Chivite
"Dalmau Rioja","Marques de Murrieta"
"Chardonnay Uno",Enate
"Don PX Vieja Cosecha","Toro Albala"
"Ribas de Cabrera","Bodega Ribas"
Cenit,"Vinas del Cenit"
"El Carretil",Artadi
"Quinon de Valmira","Alvaro Palacios"
Acediano,"Bodegas Naluar & Acediano"
"Mas del Serral","Mas del Serral"
Estrats,Cervoles
"Son Negre","Anima Negra"
"Finca el Bosque","Sierra Cantabria"
"Grans Muralles","Familia Torres"
"Malleolus de Valderramiro","Emilio Moro"
"Contador Rioja","Bodega Contador (Benjamin Romeo)"
Tinto,"Adama Wines"
"Vina Tondonia Gran Reserva Blanco","R. Lopez de Heredia"
"Cami Pesseroles",Martinet
Priorat,"Clos Mogador"
8000,"Marques de Burgos"
"Pesus Ribera del Duero","Vina Sastre"
"La Basseta","Bodegas Mas Alta"
"La Poza de Ballesteros",Artadi
"Mironia Black Edition Tempranillo",Penafiel
"La Creu Alta","Bodegas Mas Alta"
Miserere,"Costers del Siurana"
