wine,wine_type,winery,avg_rating,num_ratings
"La Poza de Ballesteros",Tempranillo,Artadi,4.433333333333337,36
"Reserva Rioja (Finca Ygay)","Rioja Red","Marques de Murrieta",4.333333333333333,9
Idus,"Priorat Red","Vall Llach",4.466666666666666,9
"Valdafoz Bierzo (Corullon)",Mencia,"Descendientes de J. Palacios",4.6,1
"Rioja Gran Reserva","Rioja Red","Vina Real",4.3,19
"Rioja Gran Reserva","Rioja Red",Beronia,4.3,19
"Rioja Gran Reserva","Rioja Red",Contino,4.300000000000001,114
"Rioja Gran Reserva","Rioja Red","Marques de Riscal",4.300000000000001,114
"Rioja Gran Reserva","Rioja Red",Imperial,4.299999999999996,38
"Rioja Gran Reserva",Red,"Marques de Tomares",4.299999999999996,38
"Rioja Gran Reserva","Rioja Red","Luis Canas",4.3,19
"Valdegatiles Ribera del Duero","Ribera Del Duero Red","Dominio de Atauta",4.6,4
"Respublica Verdejo",Verdejo,"Micro Bio (MicroBio)",4.6,1
"Les Tosses","Priorat Red","Terroir Al Limit Soc. Lda",4.466666666666666,9
"Torremilanos Coleccion Ribera del Duero","Ribera Del Duero Red","Finca Torremilanos",4.5,4
"El Carretil",Tempranillo,Artadi,4.4666666666666694,36
"Taberner No. 1",Red,"Huerta de Albala",4.55,4
"Vina Motulleri","Rioja Red","Gomez Cruzado",4.6,1
Saktih,Red,"Castell d'Encus",4.55,4
"Cuvee Palomar",Red,"Abadia Retuerta",4.6,1
"Uno Tinto",Red,Enate,4.6,1
Macan,"Rioja Red","Benjamin de Rothschild - Vega Sicilia",4.500000000000001,25
"1903 Centenary Grenache","Priorat Red","Mas Doix",4.6,1
"Galiano Seleccion Especial",Red,"Bodegas Aragonesas",4.6,1
"Etern Vinyes Molt Velles","Priorat Red","Acustic Celler",4.6,1
"40 Aniversario Gran Reserva","Ribera Del Duero Red","Vina Pedrosa",4.6,1
"Corpinnat Enoteca Reserva Particular de Recaredo",Sparkling,Recaredo,4.6,1
Toro,"Toro Red",Pintia,4.377777777777782,81
Clio,Red,"Bodegas El Nido",4.5,25
Garnacha,Grenache,"Alto Moncayo",4.3999999999999995,24
Garnacha,Grenache,Morca,4.4,6
Garnacha,Grenache,"Bodegas Amaren",4.4,6
"Parcela El Nogal Tinto","Ribera Del Duero Red","Pago de Los Capellanes",4.5,9
"Belondrade y Lurton",Verdejo,Belondrade,4.449999999999999,16
"Rioja Reserva","Rioja Red","Remirez de Ganuza",4.305000000000009,140
"Rioja Reserva","Rioja Red",Imperial,4.305000000000001,120
"Rioja Reserva","Rioja Red","Marques de Caceres",4.305000000000001,20
"Rioja Reserva","Rioja Red","Finca Valpiedra",4.305000000000001,20
"Rioja Reserva","Rioja Red","Marques de Riscal",4.304999999999996,40
"Rioja Reserva","Rioja Red",Remelluri,4.304999999999996,40
"Rioja Reserva","Rioja Red",VALENCISO,4.305000000000001,20
"Prado Enea Gran Reserva","Rioja Red",Muga,4.385714285714292,49
"Torre Muga","Rioja Red",Muga,4.366666666666668,36
Aro,"Rioja Red",Muga,4.5,9
"San Vicente Rioja","Rioja Red","Senorio de San Vicente",4.366666666666668,36
"Ribera del Duero TSM","Ribera Del Duero Red","Carmelo Rodero",4.433333333333334,9
"Ribera Del Duero Reserva Premium 6 Anos","Ribera Del Duero Red","Bodegas Valduero",4.5,9
"Clos de L'Obac","Priorat Red","Costers del Siurana",4.433333333333334,9
"Reserva Ribera del Duero","Ribera Del Duero Red",Arzuaga,4.399999999999999,16
"Ribera Del Duero","Ribera Del Duero Red","Francisco Barona",4.4,4
Bruto,Monastrell,"Juan Gil",4.5,9
"Culmen Reserva Rioja","Rioja Red",Lan,4.433333333333333,9
