wine_id,type,type_id
154,Ribera Del Duero Red,154
155,Rioja Red,155
156,Priorat Red,156
157,,157
158,Rioja Red,158
159,Ribera Del Duero Red,159
160,Ribera Del Duero Red,160
161,Ribera Del Duero Red,161
162,Ribera Del Duero Red,162
163,Ribera Del Duero Red,163
164,Ribera Del Duero Red,164
165,Ribera Del Duero Red,165
166,Ribera Del Duero Red,166
167,Ribera Del Duero Red,167
168,Rioja Red,168
169,Ribera Del Duero Red,169
170,Ribera Del Duero Red,170
171,Ribera Del Duero Red,171
172,Ribera Del Duero Red,172
173,Ribera Del Duero Red,173
174,Ribera Del Duero Red,174
175,Toro Red,175
176,Toro Red,176
177,Ribera Del Duero Red,177
178,Ribera Del Duero Red,178
179,Ribera Del Duero Red,179
180,Ribera Del Duero Red,180
181,Ribera Del Duero Red,181
182,Ribera Del Duero Red,182
183,Ribera Del Duero Red,183
184,Toro Red,184
185,Ribera Del Duero Red,185
186,Ribera Del Duero Red,186
187,Tempranillo,187
188,Tempranillo,188
189,Ribera Del Duero Red,189
190,Rioja Red,190
191,Tempranillo,191
192,Ribera Del Duero Red,192
193,Rioja Red,193
194,Rioja Red,194
195,Rioja Red,195
196,Rioja Red,196
197,Ribera Del Duero Red,197
198,Rioja Red,198
199,Ribera Del Duero Red,199
200,Ribera Del Duero Red,200
201,Priorat Red,201
202,Ribera Del Duero Red,202
203,Ribera Del Duero Red,203
204,Ribera Del Duero Red,204
205,Ribera Del Duero Red,205
206,Ribera Del Duero Red,206
207,Tempranillo,207
208,Ribera Del Duero Red,208
209,Tempranillo,209
210,Priorat Red,210
211,Red,211
212,Tempranillo,212
213,Ribera Del Duero Red,213
214,Rioja Red,214
215,Toro Red,215
216,Priorat Red,216
217,Toro Red,217
218,Ribera Del Duero Red,218
219,Ribera Del Duero Red,219
220,Ribera Del Duero Red,220
221,Rioja Red,221
222,Tempranillo,222
223,Priorat Red,223
224,Tempranillo,224
225,Rioja Red,225
226,Red,226
227,Ribera Del Duero Red,227
228,Toro Red,228
229,Tempranillo,229
230,Priorat Red,230
231,Tempranillo,231
232,Tempranillo,232
233,Ribera Del Duero Red,233
234,Ribera Del Duero Red,234
235,Ribera Del Duero Red,235
236,Priorat Red,236
237,Tempranillo,237
238,Priorat Red,238
239,Ribera Del Duero Red,239
240,Ribera Del Duero Red,240
241,Ribera Del Duero Red,241
242,Tempranillo,242
243,Priorat Red,243
244,Ribera Del Duero Red,244
245,Toro Red,245
246,Verdejo,246
247,Ribera Del Duero Red,247
248,Grenache,248
249,Ribera Del Duero Red,249
250,Ribera Del Duero Red,250
251,Ribera Del Duero Red,251
252,Ribera Del Duero Red,252
253,Ribera Del Duero Red,253
254,Rioja Red,254
255,,255
256,Ribera Del Duero Red,256
257,Rioja Red,257
258,Rioja Red,258
259,Toro Red,259
260,Ribera Del Duero Red,260
261,Ribera Del Duero Red,261
262,Rioja Red,262
263,Ribera Del Duero Red,263
264,Ribera Del Duero Red,264
265,Ribera Del Duero Red,265
266,Priorat Red,266
267,Syrah,267
268,Sherry,268
269,Ribera Del Duero Red,269
270,Rioja Red,270
271,Pedro Ximenez,271
272,Cava,272
273,Priorat Red,273
274,Ribera Del Duero Red,274
275,Pedro Ximenez,275
276,Priorat Red,276
277,Ribera Del Duero Red,277
278,Rioja Red,278
279,Red,279
280,Rioja Red,280
281,Priorat Red,281
282,Rioja Red,282
283,Priorat Red,283
284,Cava,284
285,Grenache,285
286,Ribera Del Duero Red,286
287,Ribera Del Duero Red,287
288,Priorat Red,288
289,,289
290,Red,290
291,Priorat Red,291
292,Ribera Del Duero Red,292
293,Monastrell,293
294,Mencia,294
295,Red,295
296,Ribera Del Duero Red,296
297,Rioja Red,297
298,Rioja Red,298
299,Sherry,299
300,Ribera Del Duero Red,300
301,Red,301
302,Rioja Red,302
303,Ribera Del Duero Red,303
304,,304
305,Priorat Red,305
306,Tempranillo,306
307,Rioja Red,307
308,Ribera Del Duero Red,308
309,Tempranillo,309
310,Priorat Red,310
311,Priorat Red,311
312,Rioja Red,312
313,,313
314,Ribera Del Duero Red,314
315,Ribera Del Duero Red,315
316,Rioja Red,316
317,Mencia,317
318,Rioja Red,318
319,,319
320,Priorat Red,320
321,Rioja Red,321
322,Ribera Del Duero Red,322
323,Pedro Ximenez,323
324,Verdejo,324
325,Ribera Del Duero Red,325
326,Priorat Red,326
327,Ribera Del Duero Red,327
328,Tempranillo,328
329,Red,329
330,Rioja Red,330
331,Red,331
332,Red,332
333,Priorat Red,333
334,Ribera Del Duero Red,334
335,Red,335
336,Red,336
337,Rioja Red,337
338,Priorat Red,338
339,Red,339
340,Red,340
341,,341
342,Red,342
343,Ribera Del Duero Red,343
344,Priorat Red,344
345,Priorat Red,345
346,Ribera Del Duero Red,346
347,Sherry,347
348,Sparkling,348
349,Pedro Ximenez,349
350,Ribera Del Duero Red,350
351,Ribera Del Duero Red,351
352,Ribera Del Duero Red,352
353,Toro Red,353
354,Ribera Del Duero Red,354
355,Ribera Del Duero Red,355
356,Toro Red,356
357,Ribera Del Duero Red,357
358,Ribera Del Duero Red,358
359,Rioja Red,359
360,Rioja Red,360
361,Rioja Red,361
362,Toro Red,362
363,Ribera Del Duero Red,363
364,Ribera Del Duero Red,364
365,Red,365
366,Ribera Del Duero Red,366
367,Ribera Del Duero Red,367
368,Ribera Del Duero Red,368
369,Red,369
370,Red,370
371,Ribera Del Duero Red,371
372,Ribera Del Duero Red,372
373,Rioja Red,373
374,Ribera Del Duero Red,374
375,Red,375
376,Grenache,376
377,Ribera Del Duero Red,377
378,Ribera Del Duero Red,378
379,Rioja Red,379
380,Ribera Del Duero Red,380
381,Verdejo,381
382,Ribera Del Duero Red,382
383,Ribera Del Duero Red,383
384,Ribera Del Duero Red,384
385,Rioja Red,385
386,Rioja Red,386
387,Rioja Red,387
388,Rioja Red,388
389,Verdejo,389
390,Priorat Red,390
391,Pedro Ximenez,391
392,Rioja Red,392
393,Rioja Red,393
394,Toro Red,394
395,Ribera Del Duero Red,395
396,Priorat Red,396
397,Rioja Red,397
398,Ribera Del Duero Red,398
399,Ribera Del Duero Red,399
400,Rioja Red,400
401,Red,401
402,Rioja Red,402
403,Rioja Red,403
404,Rioja Red,404
405,Ribera Del Duero Red,405
406,Ribera Del Duero Red,406
407,Ribera Del Duero Red,407
408,Rioja Red,408
409,Priorat Red,409
410,Ribera Del Duero Red,410
411,Ribera Del Duero Red,411
412,Rioja Red,412
413,Ribera Del Duero Red,413
414,Ribera Del Duero Red,414
415,Ribera Del Duero Red,415
416,Monastrell,416
417,Rioja Red,417
418,Rioja Red,418
419,Priorat Red,419
420,Monastrell,420
421,Tempranillo,421
422,Toro Red,422
423,Rioja Red,423
424,Ribera Del Duero Red,424
425,Rioja Red,425
426,Red,426
427,Ribera Del Duero Red,427
428,Toro Red,428
429,Red,429
430,Rioja Red,430
431,Priorat Red,431
432,Rioja Red,432
433,Ribera Del Duero Red,433
434,Ribera Del Duero Red,434
435,Rioja Red,435
436,Ribera Del Duero Red,436
437,Ribera Del Duero Red,437
438,Ribera Del Duero Red,438
439,Montsant Red,439
440,Ribera Del Duero Red,440
441,Ribera Del Duero Red,441
442,Priorat Red,442
443,Ribera Del Duero Red,443
444,Rioja Red,444
445,Ribera Del Duero Red,445
446,Priorat Red,446
447,Priorat Red,447
448,Rioja Red,448
449,Ribera Del Duero Red,449
450,Ribera Del Duero Red,450
451,Ribera Del Duero Red,451
452,Red,452
453,Ribera Del Duero Red,453
454,Albarino,454
455,Ribera Del Duero Red,455
456,Sherry,456
457,Syrah,457
458,Verdejo,458
459,Toro Red,459
460,Rioja Red,460
461,Rioja Red,461
462,Pedro Ximenez,462
463,Rioja White,463
464,Ribera Del Duero Red,464
465,Rioja Red,465
466,Verdejo,466
467,Cava,467
468,Rioja Red,468
469,Ribera Del Duero Red,469
470,Red,470
471,Ribera Del Duero Red,471
472,Cava,472
473,Priorat Red,473
474,Ribera Del Duero Red,474
475,Rioja Red,475
476,Ribera Del Duero Red,476
477,Tempranillo,477
478,,478
479,Ribera Del Duero Red,479
480,Syrah,480
481,Priorat Red,481
482,Ribera Del Duero Red,482
483,Ribera Del Duero Red,483
484,Ribera Del Duero Red,484
485,Red,485
486,Priorat Red,486
487,Ribera Del Duero Red,487
488,Ribera Del Duero Red,488
489,,489
490,Priorat Red,490
491,Ribera Del Duero Red,491
492,Ribera Del Duero Red,492
493,Rioja Red,493
494,Ribera Del Duero Red,494
495,Ribera Del Duero Red,495
496,Rioja Red,496
497,Ribera Del Duero Red,497
498,Rioja Red,498
499,Ribera Del Duero Red,499
500,Rioja Red,500
501,Monastrell,501
502,Rioja Red,502
503,Cava,503
504,Priorat Red,504
505,Toro Red,505
506,Chardonnay,506
507,Rioja Red,507
508,Chardonnay,508
509,Pedro Ximenez,509
510,Red,510
511,Tempranillo,511
512,Tempranillo,512
513,Rioja Red,513
514,Ribera Del Duero Red,514
515,Sparkling,515
516,Red,516
517,Red,517
518,Sherry,518
519,Sherry,519
520,Rioja Red,520
521,Red,521
522,Ribera Del Duero Red,522
523,Rioja Red,523
524,Ribera Del Duero Red,524
525,Rioja White,525
526,Priorat Red,526
527,Priorat Red,527
528,Ribera Del Duero Red,528
529,Ribera Del Duero Red,529
530,Priorat Red,530
531,Tempranillo,531
532,Ribera Del Duero Red,532
533,Priorat Red,533
534,Priorat Red,534
535,Rioja Red,535
536,Rioja Red,536
537,Tempranillo,537
538,Priorat Red,538
539,Ribera Del Duero Red,539
540,Rioja Red,540
541,Ribera Del Duero Red,541
542,Priorat Red,542
543,Tempranillo,543
544,Ribera Del Duero Red,544
545,Rioja Red,545
546,Rioja White,546
547,Rioja Red,547
548,Sherry,548
549,Rioja Red,549
550,Ribera Del Duero Red,550
551,Priorat Red,551
552,Ribera Del Duero Red,552
553,Priorat Red,553
554,Red,554
555,Tempranillo,555
556,Ribera Del Duero Red,556
557,Rioja Red,557
558,Red,558
559,Ribera Del Duero Red,559
560,Rioja Red,560
561,Rioja Red,561
562,Pedro Ximenez,562
563,Ribera Del Duero Red,563
564,Red,564
565,Toro Red,565
566,Monastrell,566
567,Ribera Del Duero Red,567
568,Rioja Red,568
569,Cava,569
570,Verdejo,570
571,Ribera Del Duero Red,571
572,Ribera Del Duero Red,572
573,Red,573
574,Priorat Red,574
575,Priorat Red,575
576,Priorat Red,576
577,,577
578,Ribera Del Duero Red,578
579,Ribera Del Duero Red,579
580,Priorat Red,580
581,Ribera Del Duero Red,581
582,Rioja Red,582
583,Rioja Red,583
584,Red,584
585,Rioja Red,585
586,Toro Red,586
587,Mencia,587
588,Red,588
589,Sherry,589
590,Red,590
591,Ribera Del Duero Red,591
592,Rioja Red,592
593,Ribera Del Duero Red,593
594,Ribera Del Duero Red,594
595,Red,595
596,Red,596
597,Pedro Ximenez,597
598,Ribera Del Duero Red,598
599,Pedro Ximenez,599
600,Grenache,600
601,Rioja Red,601
602,Priorat Red,602
603,Mencia,603
604,Syrah,604
605,Rioja Red,605
606,Red,606
607,Ribera Del Duero Red,607
608,Verdejo,608
609,Ribera Del Duero Red,609
610,Red,610
611,,611
612,Priorat Red,612
613,Sherry,613
614,Tempranillo,614
615,Priorat Red,615
616,Rioja Red,616
617,Grenache,617
618,Ribera Del Duero Red,618
619,Rioja Red,619
620,Red,620
621,Red,621
622,Cava,622
623,Red,623
624,Cabernet Sauvignon,624
625,Sauvignon Blanc,625
626,Red,626
627,Rioja White,627
628,Priorat Red,628
629,Priorat Red,629
630,Montsant Red,630
631,Albarino,631
632,Ribera Del Duero Red,632
633,Toro Red,633
634,Toro Red,634
635,Toro Red,635
636,Rioja Red,636
637,Ribera Del Duero Red,637
638,Rioja Red,638
639,Rioja Red,639
640,Ribera Del Duero Red,640
641,Rioja Red,641
642,Ribera Del Duero Red,642
643,Ribera Del Duero Red,643
644,Rioja Red,644
645,Rioja Red,645
646,Red,646
647,Red,647
648,Red,648
649,Ribera Del Duero Red,649
650,Ribera Del Duero Red,650
651,Rioja Red,651
652,Rioja Red,652
653,Rioja Red,653
654,Ribera Del Duero Red,654
655,Ribera Del Duero Red,655
656,Rioja Red,656
657,Rioja Red,657
658,Grenache,658
659,Rioja Red,659
660,Rioja Red,660
661,Ribera Del Duero Red,661
662,Ribera Del Duero Red,662
663,Red,663
664,Ribera Del Duero Red,664
665,Rioja Red,665
666,Ribera Del Duero Red,666
667,Rioja Red,667
668,Rioja Red,668
669,Toro Red,669
670,Ribera Del Duero Red,670
671,Toro Red,671
672,Rioja Red,672
673,Cava,673
674,Ribera Del Duero Red,674
675,Rioja Red,675
676,Grenache,676
677,Rioja Red,677
678,Ribera Del Duero Red,678
679,Grenache,679
680,Ribera Del Duero Red,680
681,Priorat Red,681
682,Rioja Red,682
683,Ribera Del Duero Red,683
684,Ribera Del Duero Red,684
685,Tempranillo,685
686,Ribera Del Duero Red,686
687,Ribera Del Duero Red,687
688,Rioja Red,688
689,Ribera Del Duero Red,689
690,Ribera Del Duero Red,690
691,Tempranillo,691
692,Red,692
693,Sherry,693
694,Ribera Del Duero Red,694
695,Rioja Red,695
696,Grenache,696
697,Red,697
698,Rioja Red,698
699,Sherry,699
700,Toro Red,700
701,Priorat Red,701
702,Priorat Red,702
703,Rioja Red,703
704,Grenache,704
705,Rioja Red,705
706,Ribera Del Duero Red,706
707,Rioja Red,707
708,Tempranillo,708
709,Priorat Red,709
710,Rioja Red,710
711,Ribera Del Duero Red,711
712,Rioja Red,712
713,Tempranillo,713
714,Priorat Red,714
715,Priorat Red,715
716,Ribera Del Duero Red,716
717,Rioja Red,717
718,Rioja Red,718
719,Ribera Del Duero Red,719
720,Priorat Red,720
721,Rioja Red,721
722,Rioja Red,722
723,Rioja Red,723
724,Rioja Red,724
725,Rioja Red,725
726,Sherry,726
727,Ribera Del Duero Red,727
728,Ribera Del Duero Red,728
729,Ribera Del Duero Red,729
730,Ribera Del Duero Red,730
731,Ribera Del Duero Red,731
732,Tempranillo,732
733,Ribera Del Duero Red,733
734,Toro Red,734
735,Ribera Del Duero Red,735
736,Rioja Red,736
737,Toro Red,737
738,Rioja Red,738
739,Ribera Del Duero Red,739
740,Red,740
741,Tempranillo,741
742,Red,742
743,Ribera Del Duero Red,743
744,Toro Red,744
745,,745
746,Ribera Del Duero Red,746
747,Rioja Red,747
748,Ribera Del Duero Red,748
749,Grenache,749
750,Ribera Del Duero Red,750
751,Toro Red,751
752,Rioja Red,752
753,Ribera Del Duero Red,753
754,Rioja Red,754
755,Rioja Red,755
756,Ribera Del Duero Red,756
757,,757
758,,758
759,Ribera Del Duero Red,759
760,Red,760
761,Rioja Red,761
762,Rioja Red,762
763,Priorat Red,763
764,Pedro Ximenez,764
765,Ribera Del Duero Red,765
766,Cava,766
767,Priorat Red,767
768,Priorat Red,768
769,Red,769
770,Red,770
771,Rioja Red,771
772,Rioja Red,772
773,Rioja Red,773
774,Rioja Red,774
775,Tempranillo,775
776,Ribera Del Duero Red,776
777,Rioja Red,777
778,Rioja Red,778
779,Priorat Red,779
780,Cava,780
781,Red,781
782,Red,782
783,Rioja Red,783
784,Red,784
785,Sherry,785
786,Priorat Red,786
787,Ribera Del Duero Red,787
788,Rioja Red,788
789,Rioja Red,789
790,Priorat Red,790
791,Verdejo,791
792,Ribera Del Duero Red,792
793,Ribera Del Duero Red,793
794,Red,794
795,Ribera Del Duero Red,795
796,Ribera Del Duero Red,796
797,,797
798,Chardonnay,798
799,Cava,799
800,Rioja White,800
801,Monastrell,801
802,,802
803,Rioja Red,803
804,Rioja Red,804
805,Tempranillo,805
806,Priorat Red,806
807,Priorat Red,807
808,Priorat Red,808
809,Priorat Red,809
810,Priorat Red,810
811,Monastrell,811
812,Rioja Red,812
813,Ribera Del Duero Red,813
814,Montsant Red,814
815,Rioja Red,815
816,Verdejo,816
817,Cava,817
818,Montsant Red,818
819,Tempranillo,819
820,Rioja Red,820
821,Priorat Red,821
822,Ribera Del Duero Red,822
823,Rioja Red,823
824,Tempranillo,824
825,Ribera Del Duero Red,825
826,Sherry,826
827,Rioja Red,827
828,Rioja Red,828
829,Rioja Red,829
830,Rioja Red,830
831,Tempranillo,831
832,Ribera Del Duero Red,832
833,Tempranillo,833
834,Tempranillo,834
835,Rioja Red,835
836,Ribera Del Duero Red,836
837,Ribera Del Duero Red,837
838,Ribera Del Duero Red,838
839,Pedro Ximenez,839
840,,840
841,Red,841
842,Priorat Red,842
843,Rioja Red,843
844,Priorat Red,844
845,Rioja White,845
846,Ribera Del Duero Red,846
847,Priorat Red,847
848,Rioja Red,848
849,,849
850,Grenache,850
851,Sherry,851
852,Tempranillo,852
853,Rioja White,853
854,Albarino,854
855,Albarino,855
856,Ribera Del Duero Red,856
857,Priorat Red,857
858,Cava,858
859,Priorat Red,859
860,Priorat Red,860
861,Rioja White,861
862,Priorat Red,862
863,Ribera Del Duero Red,863
864,Priorat Red,864
865,Ribera Del Duero Red,865
866,Tempranillo,866
867,Tempranillo,867
868,Sherry,868
869,Ribera Del Duero Red,869
870,Tempranillo,870
871,Ribera Del Duero Red,871
872,Priorat Red,872
873,Priorat Red,873
874,Priorat Red,874
875,Tempranillo,875
876,Priorat Red,876
877,Ribera Del Duero Red,877
878,Priorat Red,878
879,Priorat Red,879
880,Priorat Red,880
881,Monastrell,881
882,Rioja Red,882
883,Priorat Red,883
884,Ribera Del Duero Red,884
885,Cava,885
886,Priorat Red,886
887,Rioja Red,887
888,,888
889,Priorat Red,889
890,Montsant Red,890
891,Ribera Del Duero Red,891
892,Pedro Ximenez,892
893,,893
894,Tempranillo,894
895,Priorat Red,895
896,Priorat Red,896
897,Red,897
898,Syrah,898
899,Ribera Del Duero Red,899
900,Ribera Del Duero Red,900
901,Albarino,901
902,Pedro Ximenez,902
903,Rioja Red,903
904,Monastrell,904
905,Rioja Red,905
906,Priorat Red,906
907,Rioja Red,907
908,Sherry,908
909,,909
910,Red,910
911,Priorat Red,911
912,Rioja Red,912
913,Tempranillo,913
914,Priorat Red,914
915,Montsant Red,915
916,Priorat Red,916
917,,917
918,Tempranillo,918
919,Ribera Del Duero Red,919
920,Priorat Red,920
921,Rioja Red,921
922,Priorat Red,922
923,Ribera Del Duero Red,923
924,Red,924
925,Ribera Del Duero Red,925
926,Red,926
927,Ribera Del Duero Red,927
928,Ribera Del Duero Red,928
929,Tempranillo,929
930,Priorat Red,930
931,Toro Red,931
932,Ribera Del Duero Red,932
933,Sherry,933
934,Rioja Red,934
935,Priorat Red,935
936,Pedro Ximenez,936
937,Priorat Red,937
938,Ribera Del Duero Red,938
939,,939
940,Rioja Red,940
941,Rioja Red,941
942,Toro Red,942
943,Rioja Red,943
944,Toro Red,944
945,Tempranillo,945
946,Priorat Red,946
947,Rioja White,947
948,Red,948
949,Sherry,949
950,Albarino,950
951,Priorat Red,951
952,Red,952
953,Rioja White,953
954,Red,954
955,Red,955
956,Mencia,956
957,Tempranillo,957
958,Rioja Red,958
959,Ribera Del Duero Red,959
960,Tempranillo,960
961,Red,961
962,Rioja Red,962
963,Red,963
964,Ribera Del Duero Red,964
965,Sherry,965
966,Red,966
967,Priorat Red,967
968,,968
969,Rioja Red,969
970,Red,970
971,Red,971
972,Rioja Red,972
973,Rioja Red,973
974,Priorat Red,974
975,Ribera Del Duero Red,975
976,Cava,976
977,Cabernet Sauvignon,977
978,Cava,978
979,Ribera Del Duero Red,979
980,Priorat Red,980
981,Tempranillo,981
982,,982
983,Priorat Red,983
984,,984
985,Priorat Red,985
986,Cava,986
987,Ribera Del Duero Red,987
988,Ribera Del Duero Red,988
989,Priorat Red,989
990,Red,990
991,Rioja Red,991
992,Ribera Del Duero Red,992
993,Rioja Red,993
994,Grenache,994
995,Rioja Red,995
996,Cava,996
997,Tempranillo,997
998,Priorat Red,998
999,Rioja Red,999
1000,Ribera Del Duero Red,1000
1001,Ribera Del Duero Red,1001
1002,Ribera Del Duero Red,1002
1003,Cabernet Sauvignon,1003
1004,Priorat Red,1004
1005,Rioja Red,1005
1006,Rioja Red,1006
1007,Rioja Red,1007
1008,Rioja White,1008
1009,Cava,1009
1010,Red,1010
1011,Rioja Red,1011
1012,Sherry,1012
1013,Rioja Red,1013
1014,Rioja Red,1014
1015,Tempranillo,1015
1016,Rioja Red,1016
1017,Priorat Red,1017
1018,Pedro Ximenez,1018
1019,Rioja Red,1019
1020,Albarino,1020
1021,Ribera Del Duero Red,1021
1022,Rioja White,1022
1023,Red,1023
1024,Ribera Del Duero Red,1024
1025,Albarino,1025
1026,Rioja Red,1026
1027,Priorat Red,1027
1028,Rioja Red,1028
1029,Priorat Red,1029
1030,Cava,1030
1031,Rioja Red,1031
1032,Sauvignon Blanc,1032
1033,Ribera Del Duero Red,1033
1034,Rioja Red,1034
1035,Priorat Red,1035
1036,Rioja Red,1036
1037,Sherry,1037
1038,Ribera Del Duero Red,1038
1039,Ribera Del Duero Red,1039
1040,Red,1040
1041,,1041
1042,Ribera Del Duero Red,1042
1043,Ribera Del Duero Red,1043
1044,Ribera Del Duero Red,1044
1045,Rioja Red,1045
1046,Red,1046
1047,Rioja Red,1047
1048,Sherry,1048
1049,Rioja Red,1049
1050,Pedro Ximenez,1050
1051,Tempranillo,1051
1052,Rioja Red,1052
1053,Rioja White,1053
1054,Pedro Ximenez,1054
1055,Red,1055
1056,Rioja Red,1056
1057,Sherry,1057
1058,Toro Red,1058
1059,Ribera Del Duero Red,1059
1060,,1060
1061,Red,1061
1062,Sherry,1062
1063,Ribera Del Duero Red,1063
1064,Rioja Red,1064
1065,Rioja Red,1065
1066,Priorat Red,1066
1067,,1067
1068,,1068
1069,Montsant Red,1069
1070,Albarino,1070
1071,Ribera Del Duero Red,1071
1072,Red,1072
1073,Red,1073
1074,Priorat Red,1074
1075,Red,1075
1076,Rioja White,1076
1077,Verdejo,1077
1078,Rioja Red,1078
1079,Red,1079
1080,Red,1080
1081,Priorat Red,1081
1082,,1082
1083,Ribera Del Duero Red,1083
1084,Rioja Red,1084
1085,Priorat Red,1085
1086,Rioja Red,1086
1087,Ribera Del Duero Red,1087
1088,Cava,1088
1089,Priorat Red,1089
1090,Red,1090
1091,Rioja Red,1091
1092,Sherry,1092
1093,Pedro Ximenez,1093
1094,Red,1094
1095,Rioja Red,1095
1096,Rioja Red,1096
1097,Red,1097
1098,Rioja Red,1098
1099,Ribera Del Duero Red,1099
1100,Red,1100
1101,Toro Red,1101
1102,,1102
1103,Rioja Red,1103
1104,Tempranillo,1104
1105,Rioja White,1105
1106,Ribera Del Duero Red,1106
1107,Cava,1107
1108,Monastrell,1108
1109,Red,1109
1110,Rioja White,1110
1111,Rioja Red,1111
1112,Grenache,1112
1113,Grenache,1113
1114,Ribera Del Duero Red,1114
1115,Rioja Red,1115
1116,Rioja Red,1116
1117,,1117
1118,Red,1118
1119,Rioja Red,1119
1120,Toro Red,1120
1121,Red,1121
1122,Rioja Red,1122
1123,Ribera Del Duero Red,1123
1124,Ribera Del Duero Red,1124
1125,Rioja Red,1125
1126,Ribera Del Duero Red,1126
1127,Ribera Del Duero Red,1127
1128,Rioja Red,1128
1129,Ribera Del Duero Red,1129
1130,Ribera Del Duero Red,1130
1131,Rioja Red,1131
1132,Red,1132
1133,Ribera Del Duero Red,1133
1134,Ribera Del Duero Red,1134
1135,Ribera Del Duero Red,1135
1136,Rioja Red,1136
1137,Cabernet Sauvignon,1137
1138,Ribera Del Duero Red,1138
1139,Ribera Del Duero Red,1139
1140,Ribera Del Duero Red,1140
1141,Toro Red,1141
1142,Toro Red,1142
1143,Rioja Red,1143
1144,Rioja Red,1144
1145,Ribera Del Duero Red,1145
1146,Toro Red,1146
1147,Rioja Red,1147
1148,Toro Red,1148
1149,Toro Red,1149
