wine_id,region_id,price
756,3,26.63
757,30,32.58
758,16,46.5
759,3,32.5811870756681
760,47,29.95
761,8,34.9
762,8,43.9
763,7,65.0
764,4,35.9
765,3,210.5
766,13,55.95
767,7,92.8716274104906
768,7,65.4
769,42,45.890156
770,36,304.0
771,8,47.5
772,8,29.9
773,8,40.45
774,8,49.65
775,2,57.11
776,3,141.0
777,8,133.75
778,8,67.9
779,7,75.92
780,13,47.52
781,19,29.9
782,5,19.99
783,8,59.25
784,19,73.9
785,34,39.35
786,7,40.3
787,3,42.75
788,8,149.5
789,8,76.5
790,7,113.2
791,10,26.9
792,3,249.8
793,3,29.95
794,48,33.0
795,3,37.0
796,3,37.13
797,18,49.95
798,27,50.9
799,13,51.95
800,8,49.2
801,24,35.2
802,49,20.74
803,8,87.3
804,8,45.95
805,30,64.99
806,7,350.03
807,7,69.9
808,7,36.95
809,7,154.37
810,7,43.85
811,5,77.98
812,8,91.43
813,3,195.0
814,35,125.84
815,8,69.0
816,33,17.49
817,13,44.41
818,35,149.0
819,30,73.6
820,8,82.75
821,7,78.38
822,3,59.95
823,8,80.95
824,2,95.9
825,3,75.0
826,34,58.95
827,8,125.0
828,8,64.0
829,8,78.9
830,8,35.5
831,2,42.35
832,3,28.95
833,2,495.0
834,30,63.95
835,8,99.0
836,3,379.0
837,3,56.95
838,3,65.34
839,34,22.35
840,22,18.99
841,50,79.95
842,7,78.49
843,8,49.9
844,7,35.5
845,8,34.9
846,3,50.76
847,7,29.95
848,8,36.75
849,9,37.6
850,11,100.0
851,6,25.0
852,2,40.0
853,8,52.0
854,37,34.25
855,37,35.4
856,3,32.15
857,7,62.75
858,13,58.3
859,7,58.9
860,7,59.0
861,8,42.95
862,7,43.95
863,3,41.9188925
864,7,91.03
865,3,25.1
866,2,104.0
867,2,295.3
868,51,79.9
869,3,71.95
870,3,57.9
871,3,465.0
872,7,116.0
873,7,158.88
874,7,165.85
875,2,101.01
876,7,56.95
877,3,48.69
878,7,56.0
879,7,217.2
880,7,89.9
881,5,48.9
882,8,145.0
883,7,54.5
884,3,42.0
885,13,59.75
886,7,49.95
887,8,36.0
888,16,16.39
889,7,95.0
890,35,51.05
891,3,52.9
892,6,17.5
893,30,33.8
894,2,419.85
895,7,33.03
896,7,189.0
897,17,39.22
898,52,19.5
899,3,44.0
900,3,101.1
901,37,36.95
902,4,225.0
903,8,77.0
904,5,69.0
905,8,90.0
906,7,50.0
907,8,125.97
908,38,87.9
909,7,63.46
910,20,69.0
911,7,64.0
912,8,57.9
913,2,143.51
914,7,54.05
915,35,102.0
916,7,95.0
917,22,37.65
918,2,340.0
919,3,28.9
920,7,84.55
921,8,940.0
922,7,152.6
923,3,32.45
924,26,34.9
925,3,35.0
926,52,24.9
927,3,53.9
928,3,21.38
929,2,385.0
930,7,53.4
931,1,14.65
932,3,54.9
933,6,62.02
934,8,26.85
935,7,126.5
936,4,35.9
937,7,64.35
938,3,115.2
939,53,17.95
940,8,140.0
941,8,167.0
942,1,33.9
943,8,45.95
944,1,44.0
945,10,31.94
946,7,32.49
947,8,36.75
948,23,26.84
949,38,36.9
950,37,59.95
951,7,241.4
952,30,27.6
953,8,37.98
954,17,32.23
955,36,123.76
956,9,34.55
957,2,155.0
958,8,68.0
959,3,59.9
960,1,112.0
961,17,14.18
962,8,106.0
963,7,105.8121097
964,3,31.5
965,34,42.12
966,40,21.5
967,7,75.0
968,31,15.9
969,8,53.9
970,17,30.86
971,23,235.95
972,8,38.5
973,8,56.75
974,7,59.9
975,3,122.667917
976,13,34.56
977,30,65.9
978,13,59.75
979,3,509.25
980,7,158.88
981,10,37.66
982,40,62.7
983,7,60.73
984,54,27.25
985,7,49.6
986,13,43.5
987,3,225.0
988,3,89.97
989,7,37.9
990,48,18.9
991,8,53.8
992,3,55.25
993,28,44.9
994,8,32.9
995,8,82.5
996,13,33.78
997,10,34.9
998,7,367.39
999,8,104.5
1000,3,74.55
1001,3,119.0
1002,3,31.9239296995019
1003,55,27.35
1004,7,33.0
1005,18,280.0
1006,8,140.0
1007,8,32.0
1008,8,91.5
1009,13,52.95
1010,40,35.15
1011,8,23.0
1012,51,37.9
1013,8,119.95
1014,28,42.9
1015,8,39.9
1016,8,50.0
1017,7,209.31
1018,4,165.0
1019,8,97.0
1020,37,26.5
1021,3,32.5
1022,8,194.0
1023,20,74.95
1024,3,28.9
1025,2,18.99
1026,18,19.95
1027,7,38.66
1028,8,180.0
1029,7,75.5
1030,13,7.89
1031,8,18.0
1032,40,17.9
1033,3,15.4438025
1034,18,33.55
1035,7,19.8
1036,8,145.0
1037,6,189.99
1038,3,59.9
1039,3,29.9
1040,40,33.8
1041,7,43.5
1042,3,39.9
1043,3,119.35
1044,3,60.0
1045,8,40.0
1046,56,34.75
1047,8,24.0
1048,6,59.9
1049,8,245.25
1050,4,109.76
1051,25,59.9
1052,8,130.5
1053,8,61.5
1054,4,33.23
1055,17,38.5
1056,8,38.12
1057,14,65.0
1058,1,41.0
1059,3,74.5
1060,40,45.39
1061,1,26.0
1062,15,39.75
1063,3,29.89
1064,8,38.0
1065,8,132.4
1066,7,69.0
1067,23,13.99
1068,10,24.5
1069,35,16.25
1070,37,39.95
1071,3,138.0
1072,23,35.4
1073,47,20.95
1074,7,39.99
1075,17,159.8
1076,8,139.63
1077,1,19.97
1078,8,75.8
1079,57,52.5
1080,58,20.95
1081,7,51.95
1082,29,43.44
1083,3,35.48
1084,8,28.0
1085,7,239.5
1086,8,60.61
1087,3,35.35
1088,13,89.9
1089,7,74.56
1090,17,33.4
1091,8,29.25
1092,38,15.84
1093,4,173.0
1094,29,34.5
1095,8,21.88
1096,8,27.9
1097,43,54.9
1098,8,31.99
1099,3,24.9
1100,59,11.5
1101,1,140.0
1102,19,15.5
1103,8,95.0
1104,10,40.2
1105,8,26.45
1106,3,7.9
1107,13,29.95
1108,24,59.9
1109,30,115.9
1110,8,33.0
1111,8,72.0
1112,43,13.95
1113,60,195.99
1114,3,46.0
1115,8,24.38
1116,8,20.0
1117,32,6.95
1118,30,17.48
1119,8,37.9
1120,1,79.75
1121,30,24.95
1122,8,29.9
1123,3,29.13
1124,3,33.9
1125,8,28.0
1126,3,25.8
1127,3,37.86
1128,8,34.0
1129,3,33.64
1130,3,36.35
1131,8,35.5
1132,10,66.75
1133,3,19.01
1134,3,75.9
1135,3,38.05
1136,8,40.4
1137,40,63.33
1138,3,26.9
1139,3,34.95
1140,3,24.5
1141,1,93.5
1142,1,99.9
1143,8,35.09
1144,8,36.8
1145,3,80.35
1146,1,46.0
1147,8,50.41
1148,1,150.0
1149,1,33.95
1150,3,48.6377226796774
1151,3,27.29
1152,3,65.9
1153,1,33.66
1154,1,190.0
1155,40,55.0
1156,1,26.9
1157,1,36.9
1158,3,25.95
