nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion,año
Parxet,Bodegas Parxet,DO Cava (España),Macabeo/ Parellada/ Pensal blanca,12.0,No descuento,4,4.5,2,Cava,
Alma de Luzón,Bodegas Luzón,Jumilla (España),Monastrell/ Syrah,38.0,No descuento,10,4.0,1,Vino tinto,2019
Sking Or Queen,La Unidad Viñas y Bodega,Cebreros (España),Albillo,11.3,No descuento,1,0.0,0,Vino naranja,2021
Pulpo Albariño,Pagos del Rey,Rías Baixas (España),Albariño,12.5,No descuento,9,3.8,8,Vino blanco,2022
El Perro Verde,Angel Lorenzo Cachazo,Rueda (España),Verdejo,12.0,No descuento,36,4.4,58,Vino blanco,2022
Viñas del Vero Gewürztraminer,Viñas del Vero,Somontano (España),Gewürztraminer,11.5,No descuento,15,4.4,21,Vino blanco,2022
Casar de Burbia Mencía,Bodega Casar de Burbia,Bierzo (España),Mencía,12.5,No descuento,16,4.0,22,Vino tinto,2018
Viña Sastre Crianza,Viña Sastre,Ribera del Duero (España),Tempranillo,22.0,No descuento,19,4.4,12,Vino tinto,2020
Palacios-Remondo Propiedad,Bodegas Palacios Remondo,Rioja (España),Garnacha,28.1,No descuento,92,4.6,18,Vino tinto,2021
Bela,Bodega Bela,Ribera del Duero (España),Tempranillo,11.7,No descuento,30,4.0,1,Vino tinto,2021
Casal de Armán Blanco,Bodegas Casal de Armán,Ribeiro (España),Treixadura/ Godello/ Albariño,13.5,No descuento,6,4.0,4,Vino blanco,2022
Santa Rosa,Enrique Mendoza Viticultor,Alicante (España),Cabernet sauvignon/ Monastrell/ Syrah/ Merlot,22.6,No descuento,11,4.6,7,Vino tinto,2020
Pere Ventura Vintage,Caves Pere Ventura,DO Cava (España),Xarel·lo/ Chardonnay,34.9,No descuento,6,5.0,1,Cava,2016
GR-174 Casa Gran del Siurana,Casa Gran del Siurana,Priorat (España),Garnacha/ Cariñena/ Cabernet sauvignon/ Merlot/ Syrah,13.5,No descuento,23,4.3,27,Vino tinto,2022
Cora de Loxarel,Loxarel Vitivinicultors,Penedès (España),Moscatel de Alejandría/ Xarel·lo,8.8,No descuento,6,4.8,4,Vino blanco,2022
"Gramona Vi de Glass Gewürztraminer 2022 (0,",Gramona,Penedès (España),Gewürztraminer,18.5,No descuento,7,4.6,9,Vino de hielo,2022
Evodia,Bodegas San Alejandro,Calatayud (España),Garnacha,7.9,No descuento,25,4.3,18,Vino tinto,2021
El Sequé,Bodegas y Viñedos El Sequé,Alicante (España),Monastrell,26.0,No descuento,33,4.6,11,Vino tinto,2021
Tocat de l'Ala,Coca i Fitó & Roig Parals,Empordà (España),Garnacha/ Cariñena/ Syrah,12.1,No descuento,20,4.7,9,Vino tinto,2019
Can Sumoi Garnatxa Blanca,Can Sumoi,Penedès (España),Parellada/ Macabeo/ Moscatel de Alejandría,11.5,No descuento,10,4.8,5,Vino blanco,2022
Recaredo Brut Nature Serral del Vell,Recaredo,Corpinnat (España),Xarel·lo/ Macabeo,36.0,No descuento,23,4.4,11,Cava,2017
Rafael Cambra Uno,Bodega Rafael Cambra,Valencia (España),Monastrell,14.6,No descuento,61,4.0,11,Vino tinto,2021
Rafael Cambra Dos,Bodega Rafael Cambra,Valencia (España),Cabernet franc/ Cabernet sauvignon/ Monastrell,10.0,No descuento,21,4.3,13,Vino tinto,2021
Familia Valdelana Rosado,Bodegas Valdelana,Rioja (España),Garnacha/ Tempranillo,6.0,No descuento,1,5.0,1,Vino rosado,2022
Carles Andreu Brut Nature Reserva,Celler Carles Andreu,DO Cava (España),Parellada/ Macabeo/ Xarel·lo/ Chardonnay,9.0,No descuento,7,4.7,6,Cava,2021
Lolo,Bodegas y Viñedos Paco & Lola,Rías Baixas (España),Albariño,10.2,No descuento,17,4.0,19,Vino blanco,2022
José Pariente Verdejo Fermentado en Barrica,Bodegas José Pariente ,Rueda (España),Verdejo,18.4,No descuento,11,4.3,13,Vino blanco,2022
Vi-Ve Maceración Carbónica,Bodegas Valdelana,Rioja (España),Tempranillo/ Viura,7.0,No descuento,5,4.0,3,Vino de maceración carbónica,2022
Pago del Vicario Petit Verdot Rosado,Bodega Pago del Vicario,Castilla (España),Petit verdot,7.9,No descuento,8,4.6,18,Vino rosado,2022
Viña Barredero,Bodegas Contreras Ruiz,Condado de Huelva (España),Zalema,6.9,No descuento,9,4.2,5,Vino blanco,2022
Beronia Crianza,Bodegas Beronia,Rioja (España),Tempranillo/ Garnacha/ Graciano,7.9,No descuento,23,4.3,41,Vino tinto,2020
4 Monos GR10,4 Monos Viticultores,Vinos de Madrid (España),Garnacha/ Syrah/ Cariñena,13.0,No descuento,14,3.6,9,Vino tinto,2021
Ferrer Bobet,Ferrer Bobet,Priorat (España),Cariñena/ Syrah/ Garnacha/ Cabernet sauvignon,40.0,No descuento,29,4.6,12,Vino tinto,2019
Carles Andreu Trepat,Celler Carles Andreu,Conca de Barberà (España),Trepat,15.9,No descuento,12,4.5,10,Vino tinto,2021
Naia,Bodegas Naia,Rueda (España),Verdejo,10.0,No descuento,17,4.2,12,Vino blanco,2022
Borsao Crianza,Bodegas Borsao,Campo de Borja (España),Garnacha/ Tempranillo/ Merlot,9.0,No descuento,9,4.4,7,Vino tinto,2019
La Nieta,Viñedos de Páganos,Rioja (España),Tempranillo,120.0,No descuento,20,4.6,7,Vino tinto,2021
Perelada Stars Brut Nature,Perelada,DO Cava (España),Parellada/ Xarel·lo/ Macabeo,8.8,No descuento,11,4.5,11,Cava,2021
Ekam,Castell d'Encús,Costers del Segre (España),Riesling/ Albariño,26.5,No descuento,17,4.1,9,Vino blanco,2021
Dominio de Atauta,Dominio de Atauta,Ribera del Duero (España),Tempranillo,28.8,No descuento,67,4.4,21,Vino tinto,2020
Mar & Cel Lácrima Baccus Blanc de Blancs,Caves Lavernoya,Penedès (España),Macabeo/ Xarel·lo/ Chardonnay,6.3,No descuento,18,4.8,12,Vino blanco,2022
Beronia Crianza Edición Limitada,Bodegas Beronia,Rioja (España),Tempranillo,9.5,No descuento,10,4.5,6,Vino tinto,2019
Ritme,Ritme Celler,Priorat (España),Cariñena/ Garnacha peluda/ Garnacha,14.9,No descuento,49,4.6,18,Vino tinto,2020
Troupe,Mar de Envero,Rías Baixas (España),Albariño,10.0,No descuento,12,4.8,4,Vino blanco,2022
Nebla Verdejo,Vicente Gandía,Castilla y León (España),Verdejo,7.2,No descuento,6,5.0,3,Vino blanco,2022
Mas Collet,Celler Capçanes,Montsant (España),Garnacha/ Cariñena/ Cabernet sauvignon,9.8,No descuento,15,4.3,17,Vino tinto,2020
Matarromera Reserva,Matarromera,Ribera del Duero (España),Tempranillo,40.0,No descuento,23,4.5,13,Vino tinto,2018
Habla de Ti,Bodegas Habla,Sin indicación geográfica (España),Sauvignon blanc,11.0,No descuento,11,4.3,9,Vino blanco,2022
Juvé & Camps Brut,Juvé y Camps,DO Cava (España),Pinot noir,13.4,"14,90",20,4.4,17,Cava,
Enate Chardonnay Fermentado en Barrica,Enate,Somontano (España),Chardonnay,18.2,No descuento,35,4.8,36,Vino blanco,2022
Le Naturel,Aroa Bodegas,Navarra (España),Garnacha,9.0,No descuento,30,4.5,15,Vino tinto,2022
Cerro Añón Reserva,Bodegas Olarra,Rioja (España),Tempranillo/ Mazuelo/ Garnacha,13.5,No descuento,8,4.3,6,Vino tinto,2018
Canals & Munné Lola Rosé,Canals & Munné,DO Cava (España),Pinot noir,14.5,No descuento,7,5.0,1,Cava,
Terrer de la Creu Brut N,Terrer de la Creu,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,7.5,No descuento,5,5.0,1,Cava,
Laurel,Clos i Terrasses,Priorat (España),Garnacha/ Syrah/ Cabernet sauvignon,49.5,No descuento,47,4.5,24,Vino tinto,2021
Canals & Munné Dionysus Brut Nature Eco,Canals & Munné,DO Cava (España),Xarel·lo/ Chardonnay/ Macabeo,10.0,No descuento,15,4.8,13,Cava,2021
Guímaro,Guímaro,Ribeira Sacra (España),Mencía/ Caiño tinto/ Sousón,11.2,No descuento,43,3.9,15,Vino tinto,2022
La Mateo Colección de Familia Vendimia,Bodegas D. Mateos,Rioja (España),Tempranillo/ Garnacha/ Graciano,26.0,No descuento,2,4.4,5,Vino tinto,2020
Adhuc Tempus Albariño,Vinos Adhuc Tempus,Rías Baixas (España),Albariño,10.8,No descuento,12,4.0,3,Vino blanco,2022
Quinta de Couselo,Quinta de Couselo,Rías Baixas (España),Albariño/ Caiño blanco/ Loureiro/ Treixadura,15.2,No descuento,11,4.7,6,Vino blanco,2022
