nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion,año
Primero de Fariña,Bodegas Fariña,Toro (España),Tinta de Toro,6.7,No descuento,29,4.5,19,Vino de maceración carbónica,2022
Tajinaste Blanco Afrutado,Tajinaste Viñedos y Bodega,Islas Canarias (España),Listán blanco/ Moscatel de Alejandría,14.5,No descuento,7,4.6,5,Vino blanco,2022
Mas d'en Compte Blanc,Celler Cal Pla,Priorat (España),Garnacha blanca/ Picapoll/ Xarel·lo/ Macabeo,15.4,No descuento,23,4.6,14,Vino blanco,2018
Viña Bosconia Reserva,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,24.9,No descuento,95,4.4,38,Vino tinto,2012
Protos Roble,Bodegas Protos,Ribera del Duero (España),Tempranillo,9.5,No descuento,69,4.3,68,Vino tinto,2021
Raventós i Blanc de Nit,Raventós i Blanc,Conca del Riu Anoia (España),Macabeo/ Xarel·lo/ Parellada/ Monastrell,19.2,No descuento,47,4.6,29,Cava,2021
Viñas Elías Mora,Bodegas Elías Mora ,Toro (España),Tinta de Toro,9.8,No descuento,25,4.2,14,Vino tinto,2021
Clos Martinet,Mas Martinet Viticultors,Priorat (España),Garnacha/ Cariñena/ Syrah/ Cabernet sauvignon/ Merlot,63.5,No descuento,54,4.7,13,Vino tinto,2021
Izadi Crianza,Bodegas Izadi,Rioja (España),Tempranillo,11.0,No descuento,68,4.2,87,Vino tinto,2020
Remelluri Reserva,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Viura/ Malvasía,26.6,No descuento,122,4.5,47,Vino tinto,2015
Luis Cañas Reserva,Bodegas Luis Cañas,Rioja (España),Tempranillo/ Graciano,17.2,No descuento,43,4.5,35,Vino tinto,2016
Avancia Godello,Bodegas Avanthia,Valdeorras (España),Godello,27.0,No disponible,9,4.8,4,Vino blanco,2021
Queiron Mi Lugar,Bodegas Queiron,Rioja (España),Tempranillo/ Garnacha,23.4,No descuento,6,0.0,0,Vino tinto,2018
Borsao Tres Picos,Bodegas Borsao,Campo de Borja (España),Garnacha,14.5,No descuento,41,4.4,35,Vino tinto,2020
Basa Blanco,Compañía de Vinos de Telmo Rodríguez,Rueda (España),Verdejo/ Viura,8.6,No descuento,36,4.6,36,Vino blanco,2022
Juvé & Camps Reserva de la Familia,Juvé y Camps,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,19.0,No descuento,34,4.7,43,Cava,2018
Naranjas Azules,Soto y Manrique,Cebreros (España),Garnacha,9.5,No descuento,37,3.7,19,Vino rosado,2022
Ramón Bilbao Rosado,Bodegas Ramón Bilbao,Rioja (España),Garnacha,7.9,No descuento,6,4.2,25,Vino rosado,2022
Numanthia,Numanthia Termes,Toro (España),Tinta de Toro,52.5,No descuento,28,4.6,13,Vino tinto,2018
Fuentespina 3 Meses Roble,Bodegas Fuentespina,Ribera del Duero (España),Tempranillo,6.8,No descuento,4,4.0,3,Vino tinto,2022
Cune Imperial Reserva,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Graciano/ Mazuelo,29.2,No descuento,28,4.1,8,Vino tinto,2018
Torre La Moreira,Marqués de Vizhoja,Rías Baixas (España),Albariño,11.0,No descuento,4,4.9,7,Vino blanco,2022
